funkcja straty to było MAE, a nie MSE

MSO 10

Rozpoczynam trening (Maksymalnie 2000 epok, Cierpliwość: 80)...
Epoka 150/2000 | Strata MSE: 0.010230
Epoka 160/2000 | Strata MSE: 0.009718
Epoka 170/2000 | Strata MSE: 0.009995
Epoka 180/2000 | Strata MSE: 0.009695
Epoka 190/2000 | Strata MSE: 0.009515
Epoka 200/2000 | Strata MSE: 0.009645
Epoka 210/2000 | Strata MSE: 0.009618
Epoka 220/2000 | Strata MSE: 0.009680
Epoka 230/2000 | Strata MSE: 0.009278
Epoka 240/2000 | Strata MSE: 0.009233
Epoka 250/2000 | Strata MSE: 0.009581
Epoka 260/2000 | Strata MSE: 0.009179
Epoka 270/2000 | Strata MSE: 0.009359
Epoka 280/2000 | Strata MSE: 0.009126
Epoka 290/2000 | Strata MSE: 0.009189
Epoka 300/2000 | Strata MSE: 0.009238
Epoka 310/2000 | Strata MSE: 0.009142
Epoka 320/2000 | Strata MSE: 0.009113
Epoka 330/2000 | Strata MSE: 0.008956
Epoka 340/2000 | Strata MSE: 0.009367
Epoka 350/2000 | Strata MSE: 0.008944
Epoka 360/2000 | Strata MSE: 0.009210
Epoka 370/2000 | Strata MSE: 0.008875
Epoka 380/2000 | Strata MSE: 0.008857
Epoka 390/2000 | Strata MSE: 0.009072
Epoka 400/2000 | Strata MSE: 0.008799
Epoka 410/2000 | Strata MSE: 0.008807
Epoka 420/2000 | Strata MSE: 0.009035
Epoka 430/2000 | Strata MSE: 0.008771
Epoka 440/2000 | Strata MSE: 0.008859
Epoka 450/2000 | Strata MSE: 0.008691
Epoka 460/2000 | Strata MSE: 0.008678
Epoka 470/2000 | Strata MSE: 0.008802
Epoka 480/2000 | Strata MSE: 0.008855
Epoka 490/2000 | Strata MSE: 0.008661
Epoka 500/2000 | Strata MSE: 0.008593
Epoka 510/2000 | Strata MSE: 0.008594
Epoka 520/2000 | Strata MSE: 0.008611
Epoka 530/2000 | Strata MSE: 0.008873
Epoka 540/2000 | Strata MSE: 0.008654
Epoka 550/2000 | Strata MSE: 0.008621
Epoka 560/2000 | Strata MSE: 0.008623
Epoka 570/2000 | Strata MSE: 0.008571
Epoka 580/2000 | Strata MSE: 0.008661
Epoka 590/2000 | Strata MSE: 0.008614
Epoka 600/2000 | Strata MSE: 0.008547
Epoka 610/2000 | Strata MSE: 0.008587
Epoka 620/2000 | Strata MSE: 0.008493
Epoka 630/2000 | Strata MSE: 0.008614
Epoka 640/2000 | Strata MSE: 0.008565
Epoka 650/2000 | Strata MSE: 0.008524
Epoka 660/2000 | Strata MSE: 0.008530
Epoka 670/2000 | Strata MSE: 0.008611
Epoka 680/2000 | Strata MSE: 0.008513
Epoka 690/2000 | Strata MSE: 0.008645
Epoka 700/2000 | Strata MSE: 0.008471
Epoka 710/2000 | Strata MSE: 0.008485
Epoka 720/2000 | Strata MSE: 0.008563
Epoka 730/2000 | Strata MSE: 0.008513
Epoka 740/2000 | Strata MSE: 0.008434
Epoka 750/2000 | Strata MSE: 0.008459
Epoka 760/2000 | Strata MSE: 0.008433
Epoka 770/2000 | Strata MSE: 0.008437
Epoka 780/2000 | Strata MSE: 0.008476
Epoka 790/2000 | Strata MSE: 0.008433
Epoka 800/2000 | Strata MSE: 0.008513
Epoka 810/2000 | Strata MSE: 0.008423
Epoka 820/2000 | Strata MSE: 0.008427
Epoka 830/2000 | Strata MSE: 0.008434
Epoka 840/2000 | Strata MSE: 0.008476
Epoka 850/2000 | Strata MSE: 0.008441
Epoka 860/2000 | Strata MSE: 0.008435
Epoka 870/2000 | Strata MSE: 0.008494
Epoka 880/2000 | Strata MSE: 0.008424
Epoka 890/2000 | Strata MSE: 0.008390

[!] EARLY STOPPING: Przerwano trening w epoce 899!
Brak poprawy o minimum 1e-06 od 80 epok.
Trening zakończony. Załadowano najlepsze wagi ze stratą MSE: 0.008391

Komórka MSO 10 gotowa!

MSO 1:
Rozpoczynam trening (Maksymalnie 2000 epok, Cierpliwość: 50)...
Epoka 10/2000 | Strata MSE: 0.016152
Epoka 20/2000 | Strata MSE: 0.012858
Epoka 30/2000 | Strata MSE: 0.011713
Epoka 40/2000 | Strata MSE: 0.011847
Epoka 50/2000 | Strata MSE: 0.009837
Epoka 60/2000 | Strata MSE: 0.010131
Epoka 70/2000 | Strata MSE: 0.009175
Epoka 80/2000 | Strata MSE: 0.008314
Epoka 90/2000 | Strata MSE: 0.008186
Epoka 100/2000 | Strata MSE: 0.007888
Epoka 110/2000 | Strata MSE: 0.007459
Epoka 120/2000 | Strata MSE: 0.007227
Epoka 130/2000 | Strata MSE: 0.007159
Epoka 140/2000 | Strata MSE: 0.007343
Epoka 150/2000 | Strata MSE: 0.006991
Epoka 160/2000 | Strata MSE: 0.006847
Epoka 170/2000 | Strata MSE: 0.006777
Epoka 180/2000 | Strata MSE: 0.006376
Epoka 190/2000 | Strata MSE: 0.006476
Epoka 200/2000 | Strata MSE: 0.006947
Epoka 210/2000 | Strata MSE: 0.006431
Epoka 220/2000 | Strata MSE: 0.006268
Epoka 230/2000 | Strata MSE: 0.006258
Epoka 240/2000 | Strata MSE: 0.006148
Epoka 250/2000 | Strata MSE: 0.006118
Epoka 260/2000 | Strata MSE: 0.006052
Epoka 270/2000 | Strata MSE: 0.005933
Epoka 280/2000 | Strata MSE: 0.006042
Epoka 290/2000 | Strata MSE: 0.006014
Epoka 300/2000 | Strata MSE: 0.005866
Epoka 310/2000 | Strata MSE: 0.006038
Epoka 320/2000 | Strata MSE: 0.005862
Epoka 330/2000 | Strata MSE: 0.005854
Epoka 340/2000 | Strata MSE: 0.005746
Epoka 350/2000 | Strata MSE: 0.005819
Epoka 360/2000 | Strata MSE: 0.005852
Epoka 370/2000 | Strata MSE: 0.005800
Epoka 380/2000 | Strata MSE: 0.005770
Epoka 390/2000 | Strata MSE: 0.005757
Epoka 400/2000 | Strata MSE: 0.005783
Epoka 410/2000 | Strata MSE: 0.005725
Epoka 420/2000 | Strata MSE: 0.005718
Epoka 430/2000 | Strata MSE: 0.005662
Epoka 440/2000 | Strata MSE: 0.005611
Epoka 450/2000 | Strata MSE: 0.005684
Epoka 460/2000 | Strata MSE: 0.005628
Epoka 470/2000 | Strata MSE: 0.005546
Epoka 480/2000 | Strata MSE: 0.005626
Epoka 490/2000 | Strata MSE: 0.005548
Epoka 500/2000 | Strata MSE: 0.005746
Epoka 510/2000 | Strata MSE: 0.005632
Epoka 520/2000 | Strata MSE: 0.005506
Epoka 530/2000 | Strata MSE: 0.005562
Epoka 540/2000 | Strata MSE: 0.005550
Epoka 550/2000 | Strata MSE: 0.005469
Epoka 560/2000 | Strata MSE: 0.005496
Epoka 570/2000 | Strata MSE: 0.005481
Epoka 580/2000 | Strata MSE: 0.005483
Epoka 590/2000 | Strata MSE: 0.005452
Epoka 600/2000 | Strata MSE: 0.005447
Epoka 610/2000 | Strata MSE: 0.005427
Epoka 620/2000 | Strata MSE: 0.005436
Epoka 630/2000 | Strata MSE: 0.005426
Epoka 640/2000 | Strata MSE: 0.005426
Epoka 650/2000 | Strata MSE: 0.005394
Epoka 660/2000 | Strata MSE: 0.005418
Epoka 670/2000 | Strata MSE: 0.005411
Epoka 680/2000 | Strata MSE: 0.005374
Epoka 690/2000 | Strata MSE: 0.005373
Epoka 700/2000 | Strata MSE: 0.005371
